algorithm,order,quantity,compare,moves,processing_time
librarysort,ORDERED,10,26,39,0.0
librarysort,INVERSE,10,27,111,0.0
librarysort,ALMOST,10,26,39,0.0
librarysort,RANDOM,10,28,52,0.0
librarysort,ORDERED,100,663,456,0.0
librarysort,INVERSE,100,648,8544,0.015625
librarysort,ALMOST,100,646,456,0.0
librarysort,RANDOM,100,647,1184,0.0
librarysort,ORDERED,1000,11425,4035,0.0
librarysort,ALMOST,1000,11380,4035,0.015625
librarysort,INVERSE,1000,9910,982521,0.078125
librarysort,RANDOM,1000,10349,60566,0.015625
librarysort,ORDERED,10000,164107,59103,0.15625
librarysort,ALMOST,10000,164011,59103,0.234375
librarysort,RANDOM,10000,141696,1653878,2.234375
librarysort,ORDERED,100000,2149437,493158,4.296875
librarysort,ALMOST,100000,2149478,493158,5.453125
librarysort,INVERSE,10000,133356,76975381,20.125
librarysort,RANDOM,100000,1801054,28798269,90.140625
librarysort,INVERSE,100000,1668155,7858869094,608.859375
